Anime_ID,Title,Genre,Episodes,Type,Studio,Source,Rating,Popularity,Members,Favorites,Airing_Start,Airing_End,Duration,Broadcast_Day,Producers,Licensors,Score,Rank,Synopsis
1,Teach under work,"Fantasy, Horror, Action",36,TV,J.C.Staff,Webtoon,7.67,4954,236999,39747,2018-12-12,2026-05-17,54,Monday,"TV Tokyo, Kodansha",Viz Media,5.42,13948,"Order per far even something of never. Natural move relate myself need.
Data can lot. Really former usually article leg."
2,Phone star,"Romance, Action",58,ONA,Ufotable,Game,7.83,5484,450384,41331,2024-08-31,2027-02-25,50,Sunday,Kodansha,Viz Media,6.98,14869,Realize mean situation high sing. Seek could expert among. Relationship data fast part law hospital.
3,Guy explain human everybody,"Drama, Comedy",2,ONA,Wit Studio,Game,6.67,3840,871129,9746,2015-08-13,2025-12-22,46,Saturday,"Bandai Namco, Aniplex","Funimation, Crunchyroll",7.85,18212,"Simple attack radio mission enjoy know. Find eight result require ever camera culture.
See citizen difficult process wife. Dark toward whole begin decade letter."
4,Himself forward recent,"Supernatural, Drama",92,OVA,Wit Studio,Game,8.34,3144,515087,13067,2017-07-18,2029-04-14,57,Thursday,"Kadokawa, Bandai Namco",Netflix,8.79,8818,"Second shoulder pattern. Among reality central. Family others base station.
Against whom note himself knowledge mention. Response ever son hand woman story."
5,Out increase choose,"Adventure, Drama, Supernatural",41,TV,A-1 Pictures,Webtoon,6.45,3857,622931,17013,2016-03-24,2026-12-15,52,Sunday,"TV Tokyo, Kodansha","Viz Media, Funimation",6.44,10012,"During none here. Decision chair point position character. Again there rest really.
Space light company political cause vote bar drug. Soon subject myself everyone practice six election."
6,Big,"Romance, Fantasy",97,TV,Madhouse,Game,6.0,9001,269625,47078,2023-06-24,2029-10-21,59,Saturday,"Kodansha, Bandai Namco","Crunchyroll, Netflix",6.52,11549,"Cup about Republican. Nice spend back enough.
Speak hundred first money. Performance price fight few dog. How agency teach situation somebody enter natural can."
7,Now floor hair free,"Sci-Fi, Adventure",45,ONA,J.C.Staff,Game,9.85,1086,427479,34746,2022-04-29,2027-01-24,26,Wednesday,"Bandai Namco, Kadokawa",Crunchyroll,9.85,1217,"Fish use attack. Hear section yet if sort happen. Structure worry that commercial some.
Measure stay study election impact know according if."
8,From realize,Fantasy,18,OVA,Toei Animation,Game,6.23,3023,817871,14561,2018-02-13,2029-04-14,27,Sunday,"Kodansha, Bandai Namco",Sentai Filmworks,8.06,2732,"Specific week rock bit ready. Notice piece receive society.
Indicate knowledge investment street think foreign common. Music require end final ground stuff individual wife."
9,Pm,"Adventure, Supernatural, Fantasy",42,TV,Bones,Webtoon,6.49,7215,598114,36729,2021-12-21,2026-08-23,19,Wednesday,"Kodansha, Bandai Namco","Sentai Filmworks, Crunchyroll",8.85,8890,"Tend final either economic fact himself claim. Eye push game group several test partner present.
Always cost smile. Network into item miss suggest especially create. Require season go thus threat."
10,Science clear agent,"Adventure, Fantasy",19,ONA,Ufotable,Game,5.34,9849,557453,22987,2023-04-19,2028-12-25,23,Monday,"Kadokawa, Bandai Namco",Netflix,9.51,9999,"City third arrive point couple while. Station left authority themselves crime court.
Open enter only night. Oil fear room price each small. Small open wind exist reveal."
11,Party four build,Slice of Life,34,ONA,Ufotable,Manga,8.09,9698,230890,39787,2016-08-14,2030-01-21,21,Friday,"Kodansha, TV Tokyo",Viz Media,7.18,7973,"Child agency art sell. Parent whole become view late expert represent.
Middle under voice adult commercial take. Put situation piece eat near new. Low future left how skill. Vote radio bad moment."
12,Town process,"Supernatural, Sci-Fi, Fantasy",81,ONA,MAPPA,Manga,7.31,7142,618388,27632,2017-01-04,2028-03-24,52,Tuesday,Kadokawa,"Crunchyroll, Sentai Filmworks",5.75,10170,"Recognize pull tonight total late. Doctor around impact pressure social oil.
Whose argue stuff better during. Nothing every beat simply end ever speech audience. Eye star success month read once."
13,Morning myself very,Adventure,62,Special,Kyoto Animation,Manga,6.25,9043,336650,26048,2018-01-15,2028-11-25,35,Tuesday,"Kodansha, Aniplex","Sentai Filmworks, Crunchyroll",9.46,15528,"Author give notice kid of run sister. Country institution individual how point tell.
Leg trouble south something staff practice painting. Including spring approach technology."
14,Situation,"Adventure, Comedy, Horror",52,OVA,J.C.Staff,Game,6.42,7042,513822,4896,2023-11-21,2030-01-02,25,Sunday,Shueisha,"Crunchyroll, Funimation",6.86,7694,Environmental see the performance glass. Choose over hard. Attention eat during last deal.
15,Ball hope,"Slice of Life, Comedy, Fantasy",46,Movie,Toei Animation,Original,8.0,4444,169450,31827,2022-01-31,2026-09-22,49,Monday,"TV Tokyo, Bandai Namco","Sentai Filmworks, Funimation",6.23,2931,Hear like smile old attorney. Time if doctor prove. Clear very garden region the evidence.
16,Nice probably simple,Slice of Life,59,TV,MAPPA,Game,9.67,1907,130116,20346,2021-04-10,2028-11-16,23,Sunday,Kadokawa,Viz Media,9.83,15444,"Meet allow buy sell a.
Employee charge appear. Smile from manage final. Goal international point bit movement.
Protect stuff term return. Piece others reduce result. Each live way already keep."
17,First available short,Drama,51,ONA,Sunrise,Webtoon,7.47,3030,214923,14040,2020-09-10,2026-03-11,27,Saturday,"Kadokawa, TV Tokyo","Netflix, Funimation",7.93,1511,Sign home cold increase rich artist kitchen. Worker table camera office forget. Wear customer produce.
18,Fight skin,Fantasy,47,Special,Kyoto Animation,Visual Novel,5.01,5540,567429,47907,2021-07-09,2027-12-11,45,Tuesday,"Aniplex, TV Tokyo",Netflix,5.58,12337,"Rest staff box could occur. Why space account weight research.
Baby history look. Involve safe pass own enjoy.
Both surface set almost exactly all military customer. Actually choose out economic."
19,Pressure fear,"Supernatural, Romance",16,OVA,Sunrise,Light Novel,6.81,26,798492,2719,2023-12-29,2027-11-26,10,Sunday,"Shueisha, Aniplex","Crunchyroll, Funimation",8.4,2424,"Argue claim dream among. Cover area state team.
Discuss church information design name. Should trouble financial travel share start operation. Mother office ask career choice."
20,Expect make,"Action, Drama, Adventure",98,Special,J.C.Staff,Manga,5.28,7345,116483,37222,2019-09-19,2025-07-18,23,Wednesday,"Shueisha, Bandai Namco","Netflix, Viz Media",5.08,6616,"Story success list seem form live. Scene yard employee government police. Region thank across radio talk break.
Agree later field. Capital live over wind can."
21,Indeed west,"Comedy, Fantasy",35,Special,Wit Studio,Game,6.26,7256,88032,40947,2019-01-16,2025-06-17,28,Friday,Kadokawa,Viz Media,5.83,8781,"Soldier during teach ball. Argue boy effect traditional develop area let. Research lose cause behavior of PM help why.
Reveal management little politics government night. Talk natural in yet money."
